client_id,idade,renda_mensal,tempo_emprego_anos,qtd_contas,score_credito,historico_atrasos,valor_emprestimo,parcelas,inadimplente
61,37,1391.67,0.2,0,556.7861886431224,0,8039.73,48,0
62,45,4180.24,1.0,1,612.1591539574013,0,8680.36,24,0
63,64,3253.79,0.7,3,448.05881091256936,1,18005.48,28,0
64,24,6918.98,0.8,2,516.7598523239941,0,13567.41,21,1
65,61,1885.04,4.8,1,665.604356720296,1,22245.29,23,1
66,25,785.81,2.5,1,476.98078833035254,0,30393.24,39,0
67,64,5178.08,0.0,1,724.5725077602997,0,22110.69,12,1
68,52,385.02,1.7,1,697.4399355301321,0,3292.82,18,0
69,31,1660.36,1.6,1,573.1770064660213,0,48793.76,26,0
70,34,1314.8,0.4,2,850.0,0,21543.55,27,0
71,53,1307.74,3.4,2,724.3103577848293,0,42628.21,54,0
72,67,1637.25,3.6,0,505.0720493294265,0,4160.74,28,0
73,57,7894.32,3.8,1,674.6174053700048,1,40598.21,3,1
74,21,5747.06,3.9,1,606.5863066319757,0,9083.53,55,0
75,19,2437.23,0.0,4,522.3287909140589,0,34130.54,6,1
76,23,7382.73,9.2,1,493.0090856833791,1,33259.43,39,0
77,71,1274.31,5.0,1,699.4893334888379,2,45535.43,45,1
78,59,1142.96,7.0,0,540.2054535375867,0,16373.5,16,0
79,21,5948.4,0.0,0,589.8123644962948,0,5893.51,59,0
80,71,4739.63,8.1,1,507.8974071773472,0,43296.01,26,0
81,46,2062.74,5.0,4,525.1842062701409,0,16913.09,29,0
82,35,1201.87,5.4,1,587.3070799928528,0,12010.42,45,0
83,43,9583.38,0.3,1,638.8182292724151,0,24567.33,29,0
84,61,752.89,4.0,1,341.16408364485517,0,7733.72,26,1
85,51,1846.89,9.7,1,601.691979916675,1,15199.69,42,0
86,27,3579.08,3.4,1,525.3878987414964,0,19571.39,3,0
87,53,12603.53,2.5,0,740.2362653450225,0,14224.14,41,0
88,31,4050.03,8.7,1,850.0,1,22787.85,15,0
89,48,4377.55,1.8,1,564.0720965046285,0,19540.21,22,0
90,65,1890.3,2.7,3,427.7771439286806,0,38842.26,40,0
91,32,4697.49,1.9,5,611.6876969918567,1,45961.23,38,0
92,25,3242.98,8.1,7,579.4570670506795,1,5495.7,14,0
93,31,836.5,0.2,5,797.135064900129,0,41253.48,7,1
94,40,5621.47,2.1,0,766.6589343375542,1,46622.67,7,1
95,74,6478.96,3.5,3,686.5374970596564,0,34487.35,19,0
96,57,5668.57,4.7,4,541.3305918787341,0,49822.77,40,0
97,38,3061.51,2.6,1,667.7766566180803,1,17084.63,12,0
98,33,1387.22,7.2,1,626.5006359068304,0,41600.34,18,0
99,62,469.96,8.5,4,624.132320329939,0,33848.27,26,1
100,35,3380.04,0.2,1,444.177015143213,1,16509.72,31,0
101,64,7083.71,1.5,0,706.1795338453646,0,35381.49,55,0
102,70,6610.58,0.1,1,610.7808328311235,0,25726.28,16,1
103,41,5726.49,1.2,2,589.9158652455425,1,9854.21,12,0
104,43,2809.13,2.3,0,539.9843504991172,0,9107.04,31,0
105,42,7115.08,7.3,3,520.6383500346623,1,35813.24,30,0
106,62,6243.71,5.6,2,631.7258581278982,0,35740.56,56,0
107,58,2125.78,0.4,5,425.0837198141918,1,26773.3,55,1
108,46,5121.89,0.3,3,678.9498759650043,0,25320.08,19,0
109,32,1941.53,2.7,3,494.58945630043144,1,9411.9,7,0
110,62,4591.76,2.3,1,394.1319313794708,0,21749.66,4,0
111,18,1054.38,0.9,2,782.1895315926021,1,43634.18,38,1
112,42,1121.28,6.9,4,514.1912950654422,0,42809.0,52,0
113,24,6950.48,7.9,2,527.7840838478304,0,33215.49,42,0
114,26,6310.99,1.5,1,713.4538331008075,0,49869.16,48,0
115,41,4948.74,6.6,2,785.4430900516641,1,44712.33,47,0
116,18,3198.3,1.5,5,446.699842139657,1,7688.91,41,0
117,61,440.09,4.0,3,504.3831939749331,0,20257.25,11,0
118,25,2807.64,1.9,1,511.73211778394034,0,7030.91,38,0
119,41,4287.02,0.4,4,693.4801662695654,1,23571.44,7,1
120,28,1943.44,7.9,0,763.9132127929533,0,38930.95,17,1
121,68,1685.82,1.8,2,491.9747438421921,0,8211.54,11,0
122,34,9466.71,4.0,2,741.474533796822,0,44080.89,27,0
123,25,2840.59,1.4,2,529.0965888471299,0,28668.35,52,0
124,52,4289.12,0.1,5,633.6122902945572,0,37572.75,30,0
125,52,5537.54,0.3,1,472.85463005721823,1,2735.21,29,0
126,50,1337.89,2.1,1,587.8069586418002,2,5144.99,48,0
127,22,3479.23,3.5,1,588.8887285927284,0,31232.63,49,1
128,59,8567.37,1.2,1,568.4841693684726,1,41990.5,35,0
129,56,12776.7,3.6,2,638.4970981319697,1,43756.32,53,0
130,58,3077.73,3.6,3,499.2969135147474,0,34574.28,35,0
131,45,2464.26,3.7,3,511.6276701813158,1,10446.47,40,0
132,24,3696.79,2.0,2,643.7872144949356,1,10153.57,10,0
133,26,3622.46,7.4,1,734.2035330975729,1,44127.46,6,1
134,25,9039.93,2.0,1,597.7186305952077,1,6105.15,50,0
135,29,1343.3,1.8,4,650.3670773462172,1,34460.51,45,1
136,51,2382.97,0.7,2,675.808001029734,0,26908.59,38,0
137,50,1219.61,1.1,1,683.0505188633491,0,21360.29,45,0
138,65,1326.53,0.1,1,504.6475274163362,1,22296.56,33,1
139,72,4028.94,3.0,5,522.2989769795096,0,47287.76,12,1
140,40,5698.09,0.9,1,530.9925406056465,0,43141.44,51,0
141,41,1773.1,1.1,2,792.8633800893964,0,43316.7,43,0
142,54,5528.52,4.4,4,650.8192939171904,0,20627.61,44,0
143,52,7253.67,1.2,2,646.3315720385017,0,5795.57,10,0
144,61,14013.34,0.8,2,636.6235753183738,1,49893.05,32,0
145,57,3152.02,0.6,1,467.9206596380501,1,7694.48,16,1
146,39,1786.81,4.5,1,793.8190470777039,2,26021.33,47,0
147,44,1336.78,0.4,1,647.9187530786961,0,13598.65,37,0
148,52,1234.68,1.8,2,672.3160112654953,0,25781.77,48,0
149,18,8101.66,2.1,2,423.4478711084198,0,15594.19,48,0
150,52,887.07,3.5,0,677.9643852361518,1,44895.89,5,0
151,54,7896.69,3.0,3,564.3787549872374,0,48432.91,31,0
152,64,1488.09,5.0,3,467.7217025273763,0,20798.18,18,0
153,31,1723.02,0.1,1,504.62363341282025,0,3974.39,12,0
154,20,2640.58,1.1,3,473.5105791546634,0,33335.14,6,1
155,18,1697.78,1.0,4,471.821580488539,1,19142.97,54,1
156,22,6282.88,0.5,4,606.054782036421,0,49305.45,52,0
157,43,12716.75,1.0,2,561.3237211268349,0,4924.05,6,0
158,72,1761.73,1.1,1,633.4069362161388,1,6396.76,4,1
159,31,2109.51,2.2,0,767.5975871068005,1,35121.44,13,0
160,56,2615.85,3.3,3,587.0496286372662,1,38053.16,17,1
161,44,4595.56,1.4,2,375.5110706041573,1,23819.27,13,0
162,26,2636.51,3.8,0,575.8041788452183,0,14224.6,57,0
163,32,9043.54,1.2,5,719.3394436397872,0,15835.6,55,0
164,32,7459.91,1.0,4,591.406052750317,0,17229.66,25,0
165,43,1154.74,2.3,1,752.9330653691702,0,11651.46,40,0
166,59,4522.29,0.1,4,645.2941593137818,1,42606.81,52,0
167,30,10059.49,0.2,3,416.17302656026106,0,3721.32,32,1
168,68,2006.56,1.6,4,610.9582250438358,0,20660.25,52,0
169,49,2355.69,8.6,3,629.7001294264729,0,37506.36,3,0
170,56,1953.88,3.8,1,708.0355801273644,1,689.36,47,0
171,66,1986.92,0.3,3,781.9636571611568,1,43962.61,35,0
172,69,784.65,5.6,2,690.7725519708699,1,35461.51,47,0
173,49,1030.03,4.0,2,644.0479797387217,1,4132.01,55,0
174,21,3171.56,2.8,2,667.6188271578346,1,44802.33,39,1
175,47,10005.38,5.1,1,583.1993193550433,0,24621.6,25,0
176,54,1824.96,1.6,5,453.7122163192571,0,32785.85,51,1
177,40,1782.54,0.8,4,604.149608622286,0,44160.65,50,0
178,56,11628.53,2.2,1,636.5290327458906,0,44117.54,55,0
179,62,1228.31,2.4,3,479.63423740880773,0,20732.83,20,0
180,32,789.19,2.3,3,732.6621639499941,0,12265.63,12,0
181,60,1536.39,2.5,4,700.5411015482431,2,13242.37,19,0
182,46,1754.21,8.9,1,462.82385847121304,0,38414.11,9,0
183,53,736.59,7.0,1,736.5832288789875,0,46506.8,17,1
184,30,2690.73,6.3,2,569.1685630790153,4,4075.42,53,0
185,49,6366.19,4.8,1,522.1508434881652,1,1243.48,29,0
186,24,1065.54,8.6,1,707.9277692746526,2,41235.29,11,0
187,68,3197.3,0.3,0,594.8945587239942,0,19636.83,23,1
188,39,4091.83,0.9,2,789.918532083687,0,14184.24,55,0
189,45,2788.59,2.0,2,514.7111956113249,1,9824.51,39,1
190,19,3458.37,5.6,1,426.83424760273454,0,17650.79,59,0
191,59,3490.71,2.1,1,571.9561718833859,1,48587.67,31,0
192,62,1555.91,4.1,3,678.9222499060472,3,48865.45,44,0
193,74,9885.91,0.4,2,507.28570144644567,1,16909.92,47,0
194,70,8088.56,0.9,1,466.98996172001205,0,48202.66,35,0
195,23,7722.78,3.9,1,622.8927402702755,0,15343.24,55,1
196,45,6707.23,0.5,1,453.63127898324836,2,42796.81,8,0
197,45,845.57,1.3,2,630.6692699613413,1,10994.21,27,1
198,61,6253.21,0.9,4,565.9376948771823,0,41411.14,37,0
199,61,5036.57,1.3,1,649.4466488352373,0,18009.65,19,0
200,37,871.99,3.7,0,461.61711960753985,0,10188.31,46,0
201,47,2510.08,1.4,1,729.8163151443904,2,46771.61,29,1
202,28,3719.84,2.4,2,581.696551500631,1,11102.12,45,0
203,72,11287.53,0.3,0,676.3522667904823,0,49595.84,42,0
204,45,5322.93,4.9,3,695.9875461284889,0,5874.41,27,0
205,42,1492.71,1.4,1,484.2555047634044,2,996.03,14,0
206,56,11571.62,3.1,1,688.2257509608077,0,43604.28,45,0
207,50,3087.21,3.9,7,457.49332248556743,0,29536.92,56,1
208,18,2429.22,0.7,1,462.98622572401075,0,21370.5,39,1
209,74,2294.58,6.5,1,796.3999235988434,1,4557.21,42,0
210,44,813.35,2.9,0,711.1853368796625,1,28957.18,46,0
211,74,2730.35,1.7,5,807.3664175433755,0,19989.42,56,0
212,69,4438.13,0.6,1,562.978596939209,0,24439.28,40,0
213,30,2190.08,8.6,2,610.2428664078009,0,31704.4,43,0
214,58,4172.88,4.2,0,652.7354746752363,1,32176.71,27,0
215,20,1492.92,0.7,2,598.7804433406105,0,48049.66,51,1
216,56,2663.13,1.2,2,525.3863979304095,1,32925.14,4,0
217,23,3840.02,5.0,4,510.39153021199513,1,17300.5,3,0
218,25,3469.37,3.6,2,621.386223282895,0,16816.82,52,0
219,44,825.2,4.4,2,493.31401583376953,1,24119.47,5,0
220,26,2098.12,1.7,2,490.51365076331473,0,13336.72,31,0
221,54,11406.86,3.8,0,639.3572011154592,0,19133.73,16,0
222,50,2010.31,1.5,5,590.4840648514385,0,42184.58,47,0
223,68,3018.89,0.7,1,693.7206270581685,0,43058.2,36,0
224,59,2781.08,3.0,6,557.5088589917158,0,31575.73,24,0
225,61,10452.45,11.2,3,541.8744050024465,0,29350.63,38,1
226,41,8369.04,1.1,3,642.3553396035471,0,21641.44,17,1
227,32,5687.49,1.9,2,518.7975125446173,0,31977.0,39,0
228,71,1368.41,3.4,1,534.1872274443315,0,40399.64,12,0
229,49,3973.28,2.3,5,538.1545609620586,0,37023.43,11,0
230,49,4695.47,5.6,0,579.0297893704447,0,2255.25,52,0
231,41,1704.65,4.3,2,777.2436543295903,1,36690.93,37,1
232,58,1485.62,0.2,3,462.3211175042843,1,36137.41,48,1
233,69,11661.07,19.4,1,729.5507582117459,0,5400.03,44,0
234,66,2343.4,4.2,2,673.7786756289917,0,7937.24,19,1
235,66,10850.66,6.0,1,756.6978847369993,0,39501.47,49,1
236,69,6618.84,3.2,2,850.0,1,28169.98,20,1
237,29,4131.11,5.8,1,743.1453020787856,0,41170.64,51,0
238,56,4281.36,0.4,1,692.5666947907862,2,9644.83,27,0
239,19,972.3,1.3,4,468.7503648374983,1,2015.43,37,0
240,20,3517.2,6.3,3,481.37777384889574,1,8516.12,18,0
241,66,9261.45,0.7,3,636.0190184365222,1,22902.22,53,0
242,54,5141.35,0.2,1,430.19238520804356,0,26402.99,47,0
243,66,3372.7,4.7,1,661.5439251291219,0,42956.21,57,0
244,73,11725.83,5.4,3,386.5078109238989,1,35951.93,51,0
245,34,2570.79,0.5,5,715.2233385564616,0,49524.34,27,1
246,66,1815.93,5.8,1,567.8299688066402,0,4396.62,57,0
247,19,3371.34,3.5,5,612.659694547019,0,6945.94,18,0
248,19,5503.69,2.2,1,525.1627703579518,2,4675.6,43,1
249,45,754.28,5.3,2,410.1473589777428,1,27153.67,26,0
250,71,3743.94,1.6,2,723.4695279194261,0,13709.61,55,0
251,40,5700.31,0.6,1,733.5701394954714,0,34339.83,14,1
252,54,2402.55,1.0,2,564.8512234796302,2,7068.2,37,0
253,49,7226.95,2.1,2,666.1929564734007,0,5607.97,11,0
254,50,4978.83,2.3,2,560.9108579789596,0,23278.19,50,0
255,18,16532.88,4.9,2,628.8489844266246,0,19106.97,39,0
256,36,1635.2,4.7,3,675.913919892011,1,41543.66,34,1
257,19,5793.94,2.6,0,655.5084924573873,4,41958.93,59,0
258,70,1321.0,4.6,4,734.0969613409345,1,6312.72,21,0
259,61,818.69,0.6,1,651.8880675705335,1,40709.98,24,0
260,43,584.98,0.2,0,602.8084617038595,0,28426.17,47,0
261,49,4585.52,6.2,1,523.8581032122578,0,25426.13,36,1
262,23,3454.38,0.2,0,552.149461967608,0,5190.79,21,0
263,49,2031.97,0.8,1,681.0051396725016,2,37111.72,52,0
264,72,721.4,3.6,1,449.81734810858813,0,3451.87,14,1
265,21,1715.9,1.6,2,710.5807303412796,1,14245.74,20,0
266,72,2990.73,6.3,2,571.8856273985467,1,5223.86,7,0
267,28,5622.52,1.1,0,518.139409559211,2,26773.0,28,0
268,73,2941.78,0.0,2,490.12758232185325,0,32438.89,54,0
269,34,3646.96,1.1,2,667.4367785648387,3,44597.33,29,0
270,55,2206.35,2.6,3,598.5358646196681,0,36826.66,22,0
271,41,12080.88,1.4,5,758.876522322982,0,48074.67,10,0
272,22,1320.02,2.3,2,473.6924349474079,0,38167.02,56,0
273,69,1703.79,6.3,1,542.1836376938137,1,15254.62,18,0
274,51,2010.45,7.3,2,590.7778841872587,1,27605.45,4,0
275,23,4601.62,0.9,0,524.8143256030066,1,23168.01,47,1
276,39,1298.43,1.9,5,600.6118664141803,0,28515.45,3,0
277,28,3322.84,2.4,1,631.9500766415518,1,28818.42,7,0
278,65,3401.35,8.9,1,648.448423912974,2,35254.0,33,0
279,33,1710.45,19.8,1,750.6167130884461,0,4610.67,25,0
280,50,3881.53,0.8,2,469.65275712184194,0,37463.88,23,0
281,26,1331.08,3.9,1,633.7760319935311,1,7615.31,14,0
282,23,1219.68,1.4,3,535.3057180411834,2,1797.26,6,0
283,33,3228.21,0.0,4,643.0013380023585,1,26185.82,39,0
284,46,790.13,0.0,2,643.1332186353047,1,29283.11,13,0
285,20,536.01,1.9,2,501.3080616767669,0,2225.13,44,1
286,37,4565.42,2.0,2,509.88476573659125,0,26010.87,42,0
287,53,6899.3,0.1,2,651.1643063469575,0,26961.23,55,0
288,36,2051.97,3.5,1,602.3404510744131,0,3098.5,11,0
289,43,1746.8,1.0,2,578.0378159268396,1,35723.47,28,0
290,20,6663.69,2.5,2,665.7986829774974,1,10909.34,41,0
291,36,1192.22,1.1,2,673.1718475862132,0,39825.73,29,0
292,37,1001.55,0.5,5,547.0369887298298,0,15885.7,31,0
293,49,5250.66,1.6,2,514.79468623575,1,24155.68,48,0
294,24,3002.59,0.8,3,473.8081023162358,0,44646.62,45,1
295,69,6987.66,2.3,0,603.3454120201485,1,40405.88,52,0
296,58,537.96,0.7,2,457.6839722851435,1,39202.25,27,1
297,50,972.1,2.1,2,609.9428458229035,0,8441.49,20,0
298,57,3015.33,0.5,1,721.6836791424439,0,2883.05,56,0
299,56,4163.61,3.3,2,564.6540229713715,2,30485.07,32,0
300,35,5869.93,4.2,1,546.3795719459837,0,20829.24,10,0
301,57,3428.42,0.4,2,799.7844773627145,0,45499.33,4,0
302,18,3400.66,1.9,4,750.9701819187646,0,17804.87,24,0
303,28,2183.05,0.2,3,523.5402129444586,0,20822.14,23,1
304,45,10643.71,2.7,1,613.9013181058975,0,26537.03,41,1
305,74,1233.46,0.9,3,632.8678242348083,0,39921.83,28,1
306,42,3972.76,2.2,3,620.3660422726178,0,13780.8,31,1
307,67,1352.56,2.2,4,781.4673447712787,2,47120.12,7,0
308,40,4572.53,7.7,3,608.7229892419421,1,27226.1,48,0
309,48,1300.35,2.4,1,623.7234875631017,0,42128.37,16,0
310,47,5404.85,2.6,2,668.8662295146416,1,26518.11,37,0
311,59,3260.66,1.5,2,718.9919716047667,0,38713.66,8,0
312,52,12036.65,8.9,2,693.6899194304106,0,3045.33,25,0
313,24,2380.78,4.5,3,653.8084786311639,1,40061.02,19,0
314,33,4187.98,1.0,2,444.13001946060916,1,26435.99,26,0
315,43,1597.63,5.6,0,551.1862275941573,0,22746.07,42,0
316,65,2367.73,1.7,1,681.9421207205271,0,6024.68,31,1
317,74,3244.12,5.3,1,625.0398697279305,1,37207.35,54,1
318,69,878.51,5.2,1,682.6128633822952,0,6992.6,32,1
319,66,959.01,0.6,1,788.7166061671248,0,10019.73,26,0
320,19,4816.91,3.6,3,482.3036794940676,0,6757.95,37,0
321,18,2652.16,1.0,0,713.7910174804583,0,825.49,49,0
322,65,1855.03,1.1,2,566.9636537506369,0,33264.73,39,1
323,29,1653.11,1.1,1,693.5349819274732,0,13906.78,53,0
324,22,1704.81,3.9,2,595.8779256631883,0,7898.79,4,0
325,54,3261.82,0.8,1,812.7004538892995,0,16338.64,23,0
326,49,4255.76,0.0,1,613.0086936261738,0,25204.69,42,0
327,72,559.09,3.8,1,535.948577564402,0,25418.92,43,0
328,26,9230.49,0.6,2,641.9874622791767,0,18676.2,7,0
329,58,8719.88,0.3,2,632.394278071827,0,24999.15,37,0
330,52,461.96,0.8,2,713.8097094110448,0,21653.4,46,0
331,36,7106.33,1.4,2,644.8052798604925,1,41221.93,37,0
332,65,6933.88,1.9,1,847.5064639169303,0,1965.89,58,1
333,33,2982.02,0.1,1,588.8595864597728,0,43467.49,21,0
334,20,1056.02,10.6,2,590.0380050219526,0,12573.81,18,1
335,37,6715.56,3.8,2,539.6113949946946,0,36228.22,27,0
336,41,2457.78,1.2,3,608.5668338354177,0,20549.46,18,0
337,71,4624.41,1.2,2,623.1059121082955,0,15069.48,33,0
338,73,17594.84,1.8,1,628.1210529955878,0,30959.69,35,1
339,50,3646.3,3.0,2,606.7187675493999,2,38559.78,19,0
340,41,1431.52,0.5,2,539.0178783272702,0,22771.85,23,0
341,69,2278.82,0.6,2,511.83348719176445,0,23594.42,54,1
342,28,1585.16,5.9,2,562.4826275164444,0,3413.4,37,0
343,66,4216.63,0.9,2,714.1537660235114,1,46237.8,51,1
344,25,1564.23,1.4,1,735.6799685491479,0,42421.39,25,1
345,53,2042.07,6.2,0,592.3035463559565,0,20200.64,51,0
346,55,1066.84,3.3,1,505.8417033532575,1,38365.06,18,0
347,57,2682.03,1.3,5,591.8826389683209,0,16007.32,40,1
348,37,3433.73,3.5,4,809.1665435270079,1,36655.88,52,1
349,52,347.99,0.1,3,699.8967835316621,0,26076.24,16,0
350,65,3668.94,4.0,2,655.0742691532547,0,23307.95,54,0
351,42,2873.94,2.0,2,696.2684917052569,1,3297.89,42,0
352,52,1616.48,5.0,2,754.0566611341312,0,48288.39,53,0
353,42,15106.84,9.3,2,484.71337984528805,1,41951.74,43,0
354,46,6417.48,7.8,0,560.7960131302877,1,39772.71,55,0
355,35,1240.01,7.2,1,547.1278367163185,0,15593.35,56,1
356,63,5828.93,2.2,1,658.7114397070983,0,14834.71,52,0
357,35,8067.5,1.3,0,616.0110890639597,1,28873.06,35,0
358,19,3313.02,1.9,4,675.6311290689408,1,42388.05,23,0
359,71,3980.46,3.5,2,549.3112650132778,1,46764.11,19,1
360,52,3907.59,6.5,0,737.1952050679156,0,13811.99,6,0
361,33,561.91,0.7,2,593.0666291850698,2,30567.03,18,1
362,58,2567.03,7.5,0,669.4545551958183,1,36333.19,58,0
363,53,2462.35,5.1,3,719.540649892294,0,11706.41,32,0
364,50,9359.29,11.6,2,711.5124315494968,1,20669.7,46,0
365,21,3893.18,6.4,1,636.0828408401796,2,9779.98,47,0
366,50,2349.39,1.0,1,681.9346906382546,1,35095.8,36,0
367,31,2773.6,0.3,3,774.1660663972286,0,43257.36,24,0
368,38,6759.53,0.4,3,651.3601233974696,2,43937.95,46,0
369,65,2571.73,1.0,3,527.035359793842,0,33669.4,44,1
370,37,1705.21,2.9,0,658.3050730963885,0,17684.04,31,0
371,73,2390.93,4.9,0,596.271878198041,0,33221.5,49,0
372,25,6326.84,6.9,3,365.1998865595656,0,43281.2,7,0
373,24,4433.44,2.9,3,646.1998023703093,0,31479.86,3,1
374,20,3088.42,0.0,1,611.6650650015607,0,20938.15,42,0
375,34,3474.59,0.6,4,715.6417771497438,1,46030.24,55,1
376,50,1904.94,0.3,0,524.9906342511694,0,41843.22,27,1
377,65,2552.53,1.4,1,449.42903376206925,1,44180.54,52,0
378,29,1753.48,2.1,3,616.8680859410509,1,45208.01,8,0
379,68,2354.72,0.1,2,638.0177387605446,0,19993.71,25,0
380,39,8751.17,1.3,2,609.3832945385569,0,43052.13,35,0
381,72,1258.53,0.6,1,602.0708683685403,0,28732.31,16,0
382,39,1718.19,3.1,4,493.1273045793673,0,2388.87,44,0
383,63,1092.87,1.9,2,586.1082863025076,0,31973.9,38,0
384,47,918.99,2.1,2,565.1594170495584,0,23795.64,20,0
385,55,2567.23,1.7,1,707.270874076744,0,14120.16,57,0
386,55,1818.76,9.4,4,637.9325364030615,0,48533.97,53,0
387,62,12201.95,0.7,5,572.2002878254805,3,3226.01,59,0
388,68,2377.3,2.2,2,772.3884876422766,0,47320.93,42,0
389,71,8362.54,4.0,2,573.1092323784991,0,8383.72,46,0
390,25,6466.6,2.4,0,655.7786723886163,1,19160.91,12,0
391,44,2522.07,7.9,3,583.3078666410718,0,21153.14,47,0
392,44,16124.71,1.4,2,763.1152515028004,0,36685.52,41,0
393,51,3695.34,1.9,5,608.6859775813612,0,11172.66,58,0
394,38,10000.67,0.3,6,611.6414227890674,0,49312.04,51,1
395,47,9111.36,2.8,3,586.0129641227286,2,37576.09,14,0
396,50,4153.55,1.0,3,619.6511926001215,0,39602.66,40,0
397,45,5436.58,0.5,3,719.9537838647909,0,5768.22,25,0
398,64,4911.12,2.4,2,684.5843844684688,1,24077.44,9,0
399,50,1193.43,2.3,3,602.8076181116171,0,47307.66,47,0
400,22,3120.76,0.2,2,770.1325106456654,1,13868.27,48,1
401,65,7040.24,3.6,0,687.2985641342569,0,7696.49,27,0
402,36,10106.65,2.9,2,556.181888080265,1,24527.03,57,0
403,21,1674.87,0.6,2,461.9651646266062,2,46554.46,57,0
404,52,4550.83,1.9,2,558.498619820343,2,24596.14,15,1
405,66,3363.36,3.8,2,641.3348778550253,0,20539.3,40,0
406,34,2712.7,2.3,1,659.7200370631426,0,32688.49,21,0
407,61,3963.18,1.5,2,735.913768330202,0,46875.76,47,0
408,45,3548.92,1.2,5,490.54540248809997,1,2928.34,24,0
409,47,4596.85,2.8,1,556.084466605319,0,8093.08,43,0
410,46,9446.25,8.4,0,482.2357330125487,1,7071.34,13,0
